# 2024 pre-season driver starting prices ($M) — verify against f1fantasytools.com
# Format: driver_code,price
# Driver code must match Driver.code in the DB (three-letter FastF1 code)
VER,30.0
PER,20.8
LEC,19.1
SAI,18.5
HAM,19.3
RUS,18.8
NOR,23
PIA,19.0
ALO,15.8
STR,10.7
GAS,7.8
OCO,7.8
HUL,6.4
MAG,6.2
ALB,7
SAR,5.5
TSU,8
RIC,9.0
BOT,6.4
ZHO,6.6
BEA,14
DOO,10.9
LAW,10.2
COL,4.8
